file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
BAC009S0016W0321,0.0,10.3879375,S0016,-42.66947259985563,-46.36052682059152,13.665719262851157,8.41277756298932
BAC009S0190W0246,0.0,5.4809375,S0190,-50.110159101277375,-53.443652373093826,13.629935035025744,6.981668336534353
BAC009S0710W0384,0.0,5.6838125,S0710,-44.943211515184856,-47.59898073919888,13.629935035025744,9.045955321194963
BAC009S0240W0162,0.0,5.632,S0240,-49.083183003996446,-50.16891739585183,13.626506409236994,9.732717354018808
BAC009S0521W0144,0.0,5.533,S0521,-47.125211912296564,-47.71677780151367,13.608474800221156,8.85051999107845
BAC009S0204W0319,0.0,3.407,S0204,-43.94395791330645,-47.44419733683268,13.60262917748909,12.131561580019568
BAC009S0007W0394,0.0,7.115,S0007,-44.723320093047754,-46.8725462777274,13.590665726618568,6.689063125525525
BAC009S0665W0199,0.0,5.738875,S0665,-49.95846717116725,-50.97856969418733,13.57780527992466,8.748793107156992
BAC009S0658W0406,0.0,4.8738125,S0658,-44.27643737166324,-45.538872554384426,13.55663748023591,13.429447652719713
BAC009S0082W0375,0.0,4.843,S0082,-47.392856566373965,-50.86189623232241,13.547313180928809,6.08905633599915
BAC009S0063W0309,0.0,8.8869375,S0063,-42.73314907902137,-45.74330124488244,13.484512885419319,9.805129401280755
BAC009S0115W0174,0.0,5.194125,S0115,-45.488653811416185,-45.87125473022461,13.484505585575063,5.9492626695811275
BAC009S0232W0465,0.0,6.1110625,S0232,-47.05281109349427,-48.84036428278143,13.462354291966,9.109046578935633
BAC009S0240W0155,0.0,4.4759375,S0240,-46.61230032784598,-49.69974136352539,13.458544161466204,8.255153702441412
BAC009S0908W0491,0.0,8.618875,S0908,-46.823439312645014,-49.29476571852161,13.458540075185454,2.0371046225833958
BAC009S0769W0342,0.0,4.0329375,S0769,-44.96425248138958,-48.613246536254884,13.454806464213041,11.068417582053243
BAC009S0172W0200,0.0,6.532,S0172,-47.79002859398928,-47.576660537719725,13.444997993239358,7.25842125788504
BAC009S0170W0429,0.0,9.5,S0170,-44.328145559210526,-42.57787713771913,13.439417327385177,8.186045271615981
BAC009S0045W0411,0.0,4.292,S0045,-45.798709753787875,-47.37810410393609,13.43353226688821,7.119225373120916
BAC009S0140W0322,0.0,4.5739375,S0140,-46.49991452407002,-44.1757440112886,13.43353226688821,6.303697561971397
BAC009S0769W0208,0.0,5.5710625,S0769,-47.378846639362656,-48.67667694091797,13.417874438160297,12.027531698989765
BAC009S0765W0393,0.0,3.7851875,S0765,-50.84943931398417,-52.567848682403564,13.3737098065968,3.885788191921769
BAC009S0359W0403,0.0,3.6289375,S0359,-47.57308346246556,-50.91794718866763,13.371036476072998,7.442739461777748
BAC009S0596W0297,0.0,5.202,S0596,-43.82480844350962,-46.76208439579717,13.363080664688919,5.864586202368859
BAC009S0227W0273,0.0,5.0609375,S0227,-46.87117866847826,-49.73468747346298,13.307235543280585,6.73201698689887
BAC009S0360W0395,0.0,5.2731875,S0360,-48.51356810365275,-52.93636655807495,13.287153287906664,11.80493436324197
BAC009S0715W0447,0.0,3.6909375,S0715,-46.13435276930894,-45.63929960462782,13.279301782831846,6.808145149666796
BAC009S0768W0246,0.0,7.645,S0768,-46.29348447712418,-49.29490015241835,13.279301782831846,6.488533182854802
BAC009S0237W0220,0.0,3.7070625,S0237,-50.11054898079515,-49.539347076416014,13.252020663021208,8.569204186150355
BAC009S0768W0319,0.0,7.141125,S0768,-46.95141259628851,-48.40333330309069,13.212791175922197,7.35075563136855
BAC009S0140W0227,0.0,3.183,S0140,-48.1056437942217,-52.212131847034804,13.190984905051673,13.634559204196933
BAC009S0073W0430,0.0,5.479,S0073,-44.02316306455292,-45.97899924384223,13.178335517733982,9.306394527401928
BAC009S0706W0379,0.0,5.441875,S0706,-45.55998319738052,-46.8679724983547,13.178335517733982,6.633518477794794
BAC009S0715W0205,0.0,4.199,S0715,-46.86110956101191,-47.72169613838196,13.150120218279275,9.492607868115796
BAC009S0085W0193,0.0,5.4650625,S0085,-48.71173731718464,-54.7088020324707,13.148216220251529,9.57659598281962
BAC009S0172W0180,0.0,5.7259375,S0172,-42.408117910122165,-48.183015757593616,13.123776171952152,7.3041176290388705
